id,max_zT,T_for_(max_zT),max_power_density,I_for_(max_power_density),max_efficiency,I_for_(max_efficiency),num_Seebeck_samples,num_elec_resi_samples,num_thrm_cond_samples
1,1.7058119874734172,696.2962484248425,18.7474265084462,3.005270549776736,14.118611097937562,2.6430952284438907,22,22,19
2,2.431313168120666,905.8403105310531,22.621140470948006,3.479802331993355,15.57308431971158,2.9478035979801294,18,18,14
4,1.542113632510995,1199.78,111.05599888200396,12.778329116137508,15.583781915559245,11.183149173075952,19,19,19
5,2.6012779284898415,652.9074919891989,12.818574849719264,4.289114630665213,12.769761574796364,3.496255315829675,37,34,41
6,2.1262390190413623,997.478,5.471096568968684,1.1328645328833722,10.349864303223143,1.0007171777616686,15,15,15
7,1.6360177468869288,761.6398737873787,9.705397418064225,1.5372048607653503,10.833359443344843,1.34077193363411,33,32,12
8,2.049964299141178,733.0989909990999,14.595522315926932,-2.232312054158454,14.265733449061555,-1.876174772567207,52,47,10
9,1.4052176104749627,382.29920792079207,2.723653723046188,1.4669472389409,8.502075419718595,1.200258447552765,17,17,5
10,1.9823101470252193,772.6551576157616,19.320046626038945,3.2957303361754744,13.78296382482073,2.851337362874883,14,14,14
11,1.4833184607849583,829.245713971397,15.903872657078484,-3.229908748030982,11.126377841185093,-2.8934522074690734,26,26,14
12,1.8891283664726743,320.3110691069107,2.03412022261106,0.9618849957518018,9.169522668419695,0.7719760450294011,8,8,8
13,1.1792769057334473,581.73198939894,5.32889065685246,1.6150532108439628,8.472973864501144,1.4338337099235765,20,14,8
14,1.246840945480865,373.17191221122107,3.309895972455381,-1.647222809411211,8.595418558078265,-1.3771457890041405,10,10,10
15,1.3517368771959126,660.899,15.201016758814268,-4.182311971259684,11.136339803836414,-3.5253238537481573,22,42,19
16,1.1488359073119327,467.1930298029803,3.93191079406374,-1.88461039647517,8.79925036097213,-1.5836899205055441,11,11,11
17,1.9935958246414422,819.2183548354835,17.679633472188236,3.750822073434041,12.905761580836907,3.2369475414452826,23,23,23
18,1.6957748508279546,750.0,12.735333977090924,2.9865408674139187,10.375122347199788,2.6549903451800962,19,19,19
19,1.6114319171043399,407.88887618761873,3.8500422389862674,1.6089129670317068,10.012698732544186,1.3163949805821211,10,10,10
20,1.5318970201786568,691.316,0.22916925133920418,-0.03553244313187833,0.7165918639133942,-0.035105073661905246,9,9,9
23,1.8830940720738147,758.673,10.640040272316142,2.414845153486739,11.380132068278197,2.1140241004359055,10,10,10
25,1.1303335083893638,931.241,7.122118091926139,1.389087256517682,7.30154545948771,1.2962744581638057,26,26,26
26,1.152485492152849,916.8739226922692,6.3319594625423266,1.1013760580356584,8.161397452228272,1.0145171914139166,26,26,26
27,3.12040083764636,890.2634221422143,2.3960320622149274,0.15120629428954543,6.809128158950341,0.14050454314089253,15,15,15
28,2.1388831263714274,756.1584868486848,11.730114988345829,1.846033878700229,15.87020896995317,1.5698707699283911,11,11,11
31,0.9321273607944451,487.7929162916291,1.246342484056828,-0.7719976071619351,6.13926383456163,-0.663353565188136,9,9,9
32,0.9347782730686,405.52466886688666,1.480220563569477,0.7808981900812995,6.388127028185994,0.6779370668532038,10,10,10
33,0.7976200207253425,443.93642134213417,1.6702274490758755,-1.0964761590944816,5.875377222765158,-0.9569022677330182,5,5,5
34,1.9045803624487279,312.0649621962196,2.6504204314702435,1.1376768217369286,10.242766976706589,0.914370076072693,7,7,7
35,0.5558458817162766,511.3806844684468,0.18559641130633736,-0.15527101627646922,3.0185215251838633,-0.1443952165878047,6,6,6
36,1.5491829369929508,388.8745082508251,0.7511433112218793,0.6233238049098802,5.622688365270301,0.4974909551082018,6,6,6
37,1.388476520914634,345.48088328832887,2.077815488570698,0.9456537208167526,7.332347604479737,0.810098951970378,21,21,21
38,1.2555643339445752,307.2071215121512,3.9605597790142673,-1.756812218710399,8.884515901553176,-1.4774136900227584,17,17,6
39,1.5799575377316923,310.07,1.012966900712036,0.6232362235914909,6.764474533569725,0.5033417426346669,5,5,5
40,0.8631469594784059,430.5009384938494,1.616196902531357,-1.2498460817761547,6.133669749166262,-1.0812748703904727,6,6,6
41,0.833732636212131,472.765,0.4901192857659925,-0.43704242921608843,4.185777409687375,-0.39276992664428967,8,8,8
42,1.0784131798263905,469.27934173417344,1.8134454727406046,-1.2483806910085817,7.42914153208524,-1.056003011187153,11,21,21
43,1.2578908665144029,377.2108379837984,3.103275019277387,1.2097150082782169,8.268621723326607,1.0360689938497345,6,6,6
44,1.3937690495887955,341.02996759675966,2.52955954399445,1.2025159421975073,8.100843994339584,0.9995186753107163,6,6,6
45,0.27146947700870844,427.17818191819185,0.4872693936815243,-0.47819011140405876,2.142845793074252,-0.45445606449875886,9,9,9
46,1.172846195947793,339.80798760876087,3.3381265526261785,-1.48400723710103,8.329597279630221,-1.2614838512337467,10,10,10
47,0.9334565069863069,376.4191599159916,2.3580961810223275,-1.627430396268008,6.780964375787603,-1.391988664904395,5,5,5
48,0.65127508373523,430.9619525952595,1.3154588868329722,-0.7546356642023863,5.170087889492645,-0.671176633149141,5,5,5
49,1.1548687893791096,487.8605428542855,2.7652197835180115,-1.9118487699008908,8.046072485734227,-1.5804421663052663,5,5,5
50,1.21780199214296,456.4125670567057,2.828397651859628,-1.9144229993869193,8.140478245254164,-1.5766362347019345,5,5,5
51,0.9698000944851178,395.73979307930796,2.4146683191735785,-1.6707258026680114,6.931996112117793,-1.4206365731827035,5,5,5
52,0.5193616769530569,366.6403843384338,0.5064736568318292,-0.5720892272150409,2.978080998036171,-0.5197577134687713,6,6,6
53,1.0258146898631988,411.49514641464145,3.104836581574762,-1.4922469212948826,8.067081169465554,-1.2603245254881827,10,10,10
54,0.7707701620353673,467.3199910991099,0.8798017355694218,-0.4666224875897892,5.3363160205954285,-0.4090022681532052,6,6,6
55,1.1654137707596277,353.0083062306231,2.025167859572203,1.1347847143300394,7.119044696779684,0.9617870705117373,6,6,6
56,1.0477336279383642,316.74480690069004,7.584845803722587,-2.9932165605015073,12.159025263925376,-2.693841311258254,11,11,11
57,1.1456926197085575,331.3269208320832,6.524857639563428,3.564538754094641,10.467198044028853,3.261092958905556,13,10,13
60,0.31368285575342303,299.456,1.234873253042531,-1.0455390808171086,3.589344192918213,-1.0120459250161524,9,8,6
62,0.6525290783223242,395.3235103510351,0.22926158162703983,-0.30827292673095735,3.046470149102617,-0.2747614231261384,5,5,5
63,1.2089027335235618,328.46507850785076,2.9354401270480026,0.9466643154200483,7.898308381951639,0.8351262833541816,7,7,7
64,0.4831126251648105,305.171,0.9316474999956483,-0.423592345014298,4.209162068449271,-0.4089306052687421,28,28,17
65,1.3413275192585261,366.920802880288,5.7910347598012315,2.4768898236523618,8.683828250207178,2.1193865375680527,26,26,26
66,1.5742023283116826,348.3562829282928,1.3086252958941555,0.9827102744523071,6.364399490195654,0.7931220804372373,13,13,13
67,1.2110371458248177,308.0359191919192,3.8125668454461064,-1.8946356342371677,8.137360048907064,-1.5820867697824477,11,11,11
68,0.8477247738519698,408.49020372037205,0.26627995020575385,-0.35695098440767054,2.8313242384275137,-0.31402583662300854,8,8,6
70,0.5636043393589928,441.35431903190323,12.573112170349754,-4.930197557556725,7.669669253684167,-4.575221294950178,18,16,15
71,0.9837975446981658,375.69917131713174,0.5732367747120053,-0.5105583048073692,3.8485842598023248,-0.44061184759134014,11,11,11
72,0.32316610481203795,448.7614686468647,0.4481607051357074,-0.19401187257592764,3.502774128166047,-0.1825249538715327,36,17,11
73,0.3765162181307022,1041.5681838183818,8.71140905481068,-1.980624357993357,2.7934978638473775,-1.9268260481395438,9,9,6
74,0.528333296262553,379.4711562156216,0.2329219164672265,-0.2180451378484616,3.937338157958263,-0.19789992916532465,18,18,18
75,0.7656145402314659,710.762,1.8919914563776186,0.7779301546035048,7.108985312544654,0.7008524879152308,10,10,5
77,1.2732793425831113,724.469,11.743784373745493,-3.876793715616515,10.235766402267139,-3.4292108496464144,10,10,10
78,1.1269970593375238,694.9199233923392,9.23235148681141,-2.661398493824727,9.289870945608882,-2.392311406939446,10,10,10
79,1.8981528577562388,708.6530846084609,12.08037205061716,2.31628650155843,12.64122850756163,1.9772708012701112,12,12,13
80,1.3572884560970897,665.1173900390038,9.085848641346818,2.617030623566609,7.914503200880183,2.3754386698168206,17,17,17
81,1.203405118012327,789.3731071107111,17.4009490927301,-3.4194995778252513,10.97479144232226,-3.093965087742108,18,18,26
83,0.8841585785419398,722.169,2.9533275297620745,-0.8723370355892183,5.600062079816767,-0.775687818878324,10,10,7
84,0.7243529567835658,751.3993113311332,7.498173434232293,-2.563863328953967,5.730502975259002,-2.392336477638076,10,16,12
85,2.441496355582199,922.489,20.03212404243411,2.853740526481035,17.65787039229322,2.344542400708288,14,14,14
86,0.27971249167843926,293.72528520852086,1.8127842106646963,-1.7661453686281414,2.0045451740831535,-1.7341953540509565,45,45,45
87,0.6909183613601616,715.2034549454946,5.684598283586999,-2.35305253029205,5.461859969956904,-2.186392001016715,9,9,9
88,1.0986762537997243,761.0156717671767,3.4224158887690237,-0.9953801849441964,7.688320906047279,-0.8902600372788522,13,14,10
89,1.0698366667751498,543.3695415541554,4.280676961373219,1.3697999032988817,7.58509886264445,1.2106946921047912,7,7,7
90,1.1799846768421138,549.3644807480748,1.6577780406536364,-0.3750015369352102,7.6961740445149545,-0.3240058686041708,31,35,5
91,1.4627923835323122,731.9883982398239,7.366689837092177,1.9696892615112787,8.876060594933625,1.7619777249080306,24,25,9
92,1.7618211609054895,798.3953586358635,14.220100589551267,2.8230834904541555,11.999081058586453,2.4841690702079537,28,32,12
93,1.1867211525486387,655.2336666666666,4.710684616523464,1.335206302334041,6.965741797649589,1.19418615545344,22,23,8
94,1.6857874289509096,624.074,2.163742821685934,-0.7962871015122838,5.556388614282783,-0.7164336847239874,7,7,7
95,1.1202890395916145,722.727,4.42269723113083,-2.0127041958038125,7.427855255659263,-1.8206342678670024,9,9,9
