Noise [%],max_zT: sample mean [%],max_zT: half-length of 95% confidence interval for population mean [%],max_zT: sample standard deviation [%],T_for_(max_zT): sample mean [%],T_for_(max_zT): half-length of 95% confidence interval for population mean [%],T_for_(max_zT): sample standard deviation [%],max_power_density: sample mean [%],max_power_density: half-length of 95% confidence interval for population mean [%],max_power_density: sample standard deviation [%],I_for_(max_power_density): sample mean [%],I_for_(max_power_density): half-length of 95% confidence interval for population mean [%],I_for_(max_power_density): sample standard deviation [%],max_efficiency: sample mean [%],max_efficiency: half-length of 95% confidence interval for population mean [%],max_efficiency: sample standard deviation [%],I_for_(max_efficiency): sample mean [%],I_for_(max_efficiency): half-length of 95% confidence interval for population mean [%],I_for_(max_efficiency): sample standard deviation [%]
0,0.7201109611315419,0.3011027341900869,2.5410055339073256,0.9091032880657851,0.2795250414712932,2.3589114165792755,0.27536102382155986,0.07018087968572198,0.5922563411308103,0.20219867391044827,0.043093674432273604,0.3636674555724209,0.24403789073433887,0.06907550383374757,0.5829280759309953,0.18813307134160784,0.039928849656983505,0.33695950391768
1,1.5177605448750555,0.31865622581095127,2.6891394240494657,1.5315527790254926,0.3170397321363662,2.675497836291403,0.5214035768864711,0.07728926287488141,0.6522439764785021,0.33688327444372823,0.046873712918839586,0.3955671948377678,0.4441842973361681,0.07545124629729554,0.6367329572656687,0.3046987024268921,0.04356161837734001,0.36761643384115195
2,2.55599396996993,0.33749901247964925,2.8481536732165633,1.9531445194221924,0.3091944688868781,2.6092916711912078,0.8873984644112318,0.09348416336693031,0.7889127180695227,0.5651358272472571,0.05940837481032379,0.5013471882263739,0.7240047147551021,0.08363132934306214,0.7057646661374732,0.4960013786247972,0.05401979343954922,0.45587295791133453
3,4.029119962912272,0.3951045135717435,3.3342864127688667,2.3557155833808254,0.40118181351885585,3.385572738143376,1.2828831617160974,0.1308116739962195,1.103919525733148,0.824170292670036,0.08119470145984166,0.6852019669909839,1.0729264165273211,0.11577014317042024,0.9769840690704901,0.7154086990181964,0.07211529501374206,0.6085808692577156
4,5.167025417408184,0.4585336860104879,3.8695651063069403,2.693826152857832,0.4188399078785861,3.5345893706459766,1.6124441972845334,0.1424949395816636,1.2025145869390046,1.0044615522139395,0.09517546886073808,0.8031856426607032,1.3713941993526881,0.12466763646663433,1.0520700019976565,0.8755372658062046,0.08520200643788861,0.7190196078458935
5,6.14156420907163,0.5224727827711869,4.40914705045297,3.6326181904012356,0.5079761483879707,4.286809974073155,1.7902840634218007,0.16060737500353497,1.3553654030012041,1.1543848887977917,0.11203490843074111,0.9454624285596612,1.4487432462205643,0.13470072118133564,1.1367391892462935,1.0106148934468389,0.10113821381369953,0.8535052386069424
6,8.257198493123841,0.6580740879718474,5.553486266922557,3.223247736229708,0.4923069581385079,4.154577700451235,2.3012657465410196,0.19594895806883847,1.6536129708538716,1.4746847673212606,0.13307532264588598,1.1230224533804045,1.9299069495589067,0.17893378424350095,1.5100219438016795,1.2851844912966115,0.11803149197896988,0.9960675883619218
7,8.870627380727397,0.7418811118034564,6.260733618592181,3.8917148010899187,0.5617616850603784,4.74070603946884,2.6572874956335153,0.26666833784797345,2.2504137134862243,1.7335884622332243,0.1607310823988568,1.3564093695295836,2.325717717657561,0.23356070585188288,1.9710184554427552,1.5247391009603417,0.14213915163931756,1.1995120930133667
8,11.093051733136415,0.8697500574009809,7.339819463668182,4.137569230498157,0.5656770358229535,4.773747678833732,3.067763910420716,0.2857587185841542,2.411517408627064,1.9202249339483513,0.1790410304699457,1.510926994549956,2.6173195702288927,0.2638201301429232,2.2263776928246477,1.6659249751894418,0.1578697824088517,1.332262863094401
9,12.400011479901588,1.0762118960335554,9.082150618239694,4.346102097820468,0.6206127190541589,5.237349829358703,3.3438902102461916,0.3052840947880534,2.576292029884435,2.098172085245378,0.1850400433330331,1.561552655336759,2.8197701041087404,0.2784319136829832,2.349686512770829,1.864959695839373,0.16585670441883507,1.399664486267447
10,14.120098857234147,1.166792305473941,9.846558561165605,4.5558429145535655,0.6138862177652725,5.180584894809471,3.81235486785482,0.3478941594305997,2.93587830314792,2.3711754726453647,0.2238455011941592,1.8890318575305174,3.1722008304803495,0.29881554351159445,2.521703935113203,2.061340596497817,0.20175731304767405,1.702629670034032
