Noise [%],Seebeck: sample mean [%],Seebeck: half-length of 95% confidence interval for population mean [%],Seebeck: sample standard deviation [%],elec_resi: sample mean [%],elec_resi: half-length of 95% confidence interval for population mean [%],elec_resi: sample standard deviation [%],thrm_cond: sample mean [%],thrm_cond: half-length of 95% confidence interval for population mean [%],thrm_cond: sample standard deviation [%]
0,1.2619049721554885,0.552348428566432,4.661267581669561,1.502173236130843,0.24742837246610352,2.0880476737389624,1.2089955110482307,0.34636447822721605,2.922969325707489
1,1.8405083615643265,0.5398882509810331,4.556116161231184,1.8738051766194668,0.22767625804012337,1.9213596089567242,1.6995558762539744,0.3340046051697088,2.8186643750334412
2,2.6978587957200055,0.5269335353551444,4.446791334991653,2.533099392012107,0.20486187565543468,1.7288290693450372,2.5092061204345812,0.32436502499470243,2.737315972020364
3,3.677876339456681,0.5159281617638458,4.353917003333964,3.380428412947894,0.18506302685377093,1.5617466132346858,3.3407992046099597,0.30303471316460384,2.557309501650578
4,4.517665205238449,0.5047038020003387,4.259194647688954,4.252717543847525,0.1800029915598653,1.5190449827823247,4.271491868723325,0.30642161615615293,2.585891571047864
5,5.488428694580575,0.5072529910162082,4.280707250069413,5.117406455016205,0.1809302267014985,1.5268699187878407,5.112142486100089,0.29418953201671494,2.4826650308666975
6,6.445117951394494,0.4975774077718873,4.199055017206993,5.930268819246478,0.1949809624381119,1.645444057140449,5.9881605513459,0.27158439045860316,2.2919002742847843
7,7.2818094970958995,0.49093915870385424,4.143034843020602,6.883227189277228,0.19339047589499173,1.6320219435268208,7.16337208319747,0.30511848987353746,2.57489449025279
8,8.346747943934627,0.4957329976551338,4.183490042926464,7.767587528049819,0.19700845456864488,1.6625540602677722,7.995335774376162,0.3088891826692892,2.6067153612470104
9,9.38892671609593,0.49621321234918725,4.187542574027969,8.535832294586601,0.21902246231606864,1.8483302394849588,8.682072253980774,0.27739396024830165,2.3409272252520426
10,10.16623190926774,0.4904611289254116,4.139000750418744,9.518056881491123,0.24945485641902382,2.105149168856885,9.95562356869416,0.28187030183415035,2.37870306535491
