id,Seebeck_RMAE,dSeebeck_dT_RMAE,elec_resi_RMAE,thrm_cond_RMAE,Seebeck_RL2E,dSeebeck_dT_RL2E,elec_resi_RL2E,thrm_cond_RL2E,Seebeck_RL1E,dSeebeck_dT_RL1E,elec_resi_RL1E,thrm_cond_RL1E
227,0.0035865473002417705,0.18987726515461728,0.005078954560563223,0.027684671759456908,0.001984287177476183,0.09777776286358711,0.0017595493957950903,0.008943558478492965,0.0016121482463179997,0.08835407537629537,0.0011741624854074146,0.0054076756552586674
228,0.012236675039898138,0.3056249192132259,0.02087920745326624,0.022673996689667495,0.004646118552215296,0.15746722471471364,0.006556099706503087,0.007803186646369673,0.0030423809273193983,0.13172128441841288,0.003731531610835227,0.006135530752060728
229,0.011425337402068643,0.18815526561668278,0.0068476456991369596,0.001274686988171664,0.005623949438396317,0.09965590594293547,0.002857309719115479,0.0006394531212520303,0.0044502822476790585,0.08104307717559191,0.0023429432786305003,0.0005186656696011869
230,0.01619989602343919,0.45529758186927716,0.017596559830234115,0.03573107792286405,0.006197392349566986,0.3640634078182214,0.008897941678954854,0.013906607250568666,0.00410529644983259,0.30083205048329015,0.007405115836486016,0.009653225212954272
231,0.0068271018539146095,0.2255989943355497,0.009591255019750212,0.005730814008712843,0.0033742301761569313,0.13309853101314534,0.0031285326884805775,0.0025428557723307394,0.0023778020214932963,0.10901750159091052,0.0019302926122004367,0.002014038112208959
232,0.007147663928286454,0.21067536308615628,0.030612927887004808,0.0032538881281091495,0.0029286172304386075,0.11412895350524771,0.010835938601750462,0.0015082310489406107,0.0020334429215854506,0.09618067339012316,0.007825161479999756,0.001148484209163319
233,0.020072912118724168,0.250455361119237,0.012502637396531934,0.04919916645618485,0.007848568752138215,0.15066182725913746,0.00434404248212417,0.030100175307296827,0.005659675303692684,0.12528398305696856,0.0028677215947467277,0.023511372407907755
234,0.008165839639662293,0.21324938685787298,0.01745375760710909,0.01698107028372134,0.003021635583764621,0.07189949779153523,0.0064092906583066225,0.00541992622916006,0.0020491599881966725,0.04973646037601933,0.00433450424458651,0.003951578086596694
236,0.006391767521948075,0.2361502980578574,0.0051309948729532885,0.007171363090206756,0.0027951957762094777,0.15826774703345914,0.002017441820514525,0.0031896586077158782,0.002077695959520626,0.14133045048662807,0.001397529182834031,0.002321559082423299
237,0.011028961076701219,0.2322598708727772,0.0077502130916319075,0.037950350159318046,0.005460439087897147,0.17479070259576915,0.00304658957846818,0.014781935786060399,0.0038386771252807094,0.15447641175953564,0.0020926555705956555,0.010038309581768393
238,0.0012401755398374075,0.06407103675319907,0.006041962920108159,0.006883729402348153,0.0006512147757111654,0.03665371639150118,0.0030226725675941515,0.0035795320198675775,0.0005106337075452065,0.03433170784479414,0.002345303256650533,0.0029714180626045574
239,0.009577686509258505,0.18745019767650167,0.017710845492661033,0.014232788532425758,0.004306191645340191,0.24018016403050055,0.007407077007551052,0.004999471828565147,0.0032609414365082985,0.22573394331981184,0.005362303113921094,0.003244610174091064
241,0.011326703018126825,0.5040505522973243,0.017985314426072426,0.010783056579023275,0.0040712933727191395,0.3066888557093383,0.005567318281275116,0.0037927813789510527,0.0026979855322078307,0.24219850735172524,0.003474506480757019,0.002629919447283641
242,0.00586053736364588,0.28796036336040876,0.007657972662537254,0.013530932122019938,0.0024196531873947437,0.16752722670782855,0.003117707677239569,0.006308082951891042,0.0016902180075412492,0.14958513260240902,0.002353809483835943,0.004169995676338333
244,0.007706182547691532,0.20577698628722263,0.00859348836543992,0.010461466733090041,0.005023890315278869,0.11189477180041976,0.005120194022444518,0.005452310827270914,0.0041274767096014815,0.09780713251380134,0.0038574266269937258,0.003935697835278172
246,0.0890685478213728,0.7536762462210537,0.03675867495525393,0.010415915296038176,0.03555111069914771,0.7742596104572049,0.01651451475501534,0.005344007409846343,0.024914124916357774,0.7960200002939337,0.011319652780019169,0.0037584502773149336
247,0.0009948175547726944,0.03989516155610596,0.004788880569620933,0.008344276966717438,0.00046655206382887623,0.024606076032977587,0.0018404510119319876,0.0022537308594066515,0.00036139995221269773,0.023588280644911596,0.0013363592695706198,0.0013075192161180126
248,0.006590892940402062,0.15496279531961218,0.004586475481645883,0.0047486005999151865,0.003042971672437146,0.12098323155346603,0.0018100646610172977,0.0018982583339171625,0.002155951200375763,0.1111656649261648,0.0013534270341053103,0.0013376228814319033
249,0.001956857314083338,0.0946504069216374,0.006251224963805625,0.004897236694863183,0.000993905718054923,0.07065034088745131,0.0025813738193103007,0.002058745788155653,0.0007914566806165656,0.06071905402339208,0.001723318610774979,0.0015269921920503084
250,0.0024131917091157434,0.1099531996102743,0.009629605733208322,0.004016927815905946,0.0011883274486831567,0.08123790962376652,0.004287073075124713,0.001649177708518465,0.0009517428338886087,0.07333108319287963,0.003027361600257345,0.0013020978380145448
251,0.011414763992792645,0.32559988019329406,0.006305865893435136,0.004505121114305357,0.004778781415792399,0.2056334717658339,0.0031800995159111754,0.002082516571351685,0.003298983309303485,0.17266274801054082,0.002383500270198758,0.001457859569460646
252,0.022938517810944963,0.4570403430624425,0.04458150763286471,0.04614282911557362,0.01137971210450192,0.25399075151331535,0.025155401071078994,0.02028377862774651,0.008448274389170805,0.20048477848883156,0.018026467334034645,0.013477409624050038
253,0.0033482711953676486,0.19700486876344345,0.08516119342767331,0.0033061816991004195,0.0013919958908194443,0.12534513377837087,0.04330233075002732,0.0013408276107411486,0.0010186310000479429,0.11652018139322529,0.033508366477912874,0.0009583372699704078
254,0.014132829753537341,0.6199404179863042,0.06023667356363007,0.02408499099781642,0.007552817701430928,0.669008054204762,0.023799487797463274,0.00911573988573118,0.0060568359497165415,0.6796839845160284,0.01473239982907818,0.006178802397644621
255,0.009572818337527331,0.3425284537097504,0.03734918939590346,0.05145975810234143,0.004412961835867918,0.21054559717107163,0.01257576350045431,0.016547289616917486,0.00340200655744682,0.1875817841192692,0.008632246261421499,0.011813651257464402
256,0.014233045367836953,0.46442437222691774,0.021741981076516412,0.00791448077046316,0.00472722706731029,0.2303122632409716,0.008710363650231184,0.0033967886022713157,0.0027664221236923525,0.1721546375965166,0.005702895286434756,0.0024200427975845135
257,0.00973499749034241,0.24511851966707474,0.013376754454597076,0.0036271205209542196,0.005003768510076574,0.17422367951192613,0.005827614590249228,0.002077671311171271,0.0037437017826153617,0.1527412603591987,0.004599029125692502,0.0016071657223112607
