id,Seebeck_RMAE,dSeebeck_dT_RMAE,elec_resi_RMAE,thrm_cond_RMAE,Seebeck_RL2E,dSeebeck_dT_RL2E,elec_resi_RL2E,thrm_cond_RL2E,Seebeck_RL1E,dSeebeck_dT_RL1E,elec_resi_RL1E,thrm_cond_RL1E
255,0.0671533171656382,5.553748681122879,0.1304758132436451,0.2032338951448915,0.01926721326133807,1.234604249216674,0.03819728347643001,0.06165548725722541,0.009859461921235964,0.6542429911399312,0.017769595517281835,0.03322933788124822
256,0.09618983253187825,11.203270704621172,0.05289819460194745,0.033924338230042164,0.030227653814863743,2.5055824592268374,0.01830719613420098,0.010704624232525809,0.016274615874538805,1.3067226396884608,0.008516809016989084,0.005389179703630661
257,0.028118313612678466,2.64375287486652,0.03194225406181992,0.029395789014421626,0.009835758935538688,0.635739945141565,0.011310126357824798,0.008604382345624904,0.005296704666635597,0.3355010424888175,0.00604988548980078,0.004196513030138319
258,0.03251582452664637,3.645571742549335,0.029614692059248618,0.0046939925497342105,0.008386978293721314,0.824967757566026,0.007442418089712201,0.0010542551287491648,0.003866529137194207,0.40091602201114546,0.003195748847991019,0.0006627553743267239
259,0.05530318111012587,3.4617533152043896,0.018299676482137536,0.030805466217187927,0.019276888352781584,1.083640175690351,0.007087471183979955,0.009535072026150627,0.010408391813565334,0.5689976839272205,0.004451877058241006,0.004779112846116441
260,0.032937193314931335,4.498886573575266,0.029472454432677438,0.019456571044284943,0.007622221026260054,0.9551822263183631,0.009032793610471351,0.005212991142296221,0.003063430278282164,0.40433421608422737,0.004495123285420069,0.0025820501364518496
261,0.0023149264809424236,1.3541644232795034,0.005791988483598515,0.005124695702984145,0.0005663118176553136,0.22155094271408002,0.0016291489721046574,0.0013524489636403628,0.00026632621691855164,0.10257126489589238,0.0008004378217330339,0.0007358566297783907
264,0.003677385111131559,0.16593894752834412,0.003450233921814823,0.030714463756512937,0.0013357084412788614,0.03998030030498022,0.0008165689113738722,0.008128254136940368,0.0006405224087048134,0.025937699895656318,0.0004365764302777119,0.004012158549500269
265,0.06791983941583671,1.9076349971224669,0.14447331752714151,0.1131528336233865,0.026744223251564864,1.0213262034301998,0.06924374788367083,0.06478202359427893,0.01365945998189347,0.5430529799471212,0.037831572277851416,0.03283913831184935
266,0.24572251256657726,13.783223339351668,0.017791060738571562,0.3963756938173871,0.08837256765722667,3.234235708341101,0.008588218341708814,0.13597671215853174,0.04446347169458353,1.6282269324457945,0.005925437066816952,0.06800409705557305
267,0.04315428929417615,2.11132383244999,0.06113752993941283,0.10803755911475535,0.012654871737911097,0.7584188552482944,0.018059477323745583,0.04723526752691908,0.0064370324511218695,0.3983593628655424,0.009227112752093487,0.022858595087274888
268,0.04607211907186005,5.373206258413806,0.19909897697560472,0.17648827899406727,0.011605709859205933,1.212937564588659,0.051883499385405304,0.05134175562361099,0.005989139479974704,0.6440714052113126,0.022838581791596098,0.02495598652327439
269,0.033121615129668505,3.8128117848421286,0.02498520015195337,0.01812506158113041,0.010378277240867272,0.7046887338671073,0.009244195379053176,0.004513211951948569,0.00522784326686598,0.34045197652584797,0.004850820734564058,0.0021075546182413593
270,0.001181818705032713,0.10748230856024019,0.012490303021077178,0.04590704509891021,0.00039850598266237016,0.01435920913083515,0.003373503088886502,0.01123260645689958,0.0002007348420385228,0.006365135622426379,0.0014041204675975668,0.004917817799066652
271,0.014742331825042183,1.4368406604830342,0.04889979893356671,0.05430186402884294,0.004390030499219553,0.28459858965721824,0.017561332184031834,0.01996149563436108,0.0021315419838134034,0.13258330369712712,0.009823228333039523,0.009796641985027261
272,0.004477232287367714,1.3074506605616456,0.0051601627376056496,0.013934356966002417,0.001062610773522655,0.1860074074206643,0.0012752292357171126,0.0030423897849185537,0.00041461547078186327,0.0667642169706834,0.0006096125374724634,0.0012015481376363095
