id,max_zT,T_for_(max_zT),max_power_density,I_for_(max_power_density),max_efficiency,I_for_(max_efficiency),num_Seebeck_samples,num_elec_resi_samples,num_thrm_cond_samples
1,1.6721482218032522,817.552,17.77396055727541,2.894686055206752,13.693847925041306,2.5625584812299382,22,22,19
2,2.3634987143993436,915.035,23.163613724387808,3.5115348363124164,15.847472181016009,2.9620977136798747,18,18,14
4,1.452989295435913,1199.78,108.89087404501433,12.717182805286583,15.302411947595607,11.150391299701715,19,19,19
5,2.308024503995445,713.343,12.47954558464529,4.230789105265568,12.566712766411726,3.464780316598463,37,34,41
6,2.1260489272105074,997.478,5.5250673309103435,1.135811839375678,10.539169732577399,0.9995858596753724,15,15,15
7,1.4613984603324823,764.354,9.37397498256137,1.5080543469478438,10.591041462184766,1.3184484874899485,33,32,12
8,2.0152661192593433,772.005,14.747357344399335,-2.2724157375606793,14.20324184199823,-1.9060315753740702,52,47,10
9,1.2551845492697569,377.19312401240126,2.677496063510728,1.446769571813949,8.369845192502947,1.1883665891242983,17,17,5
10,1.7285345581592881,797.1515634563457,19.517364585317036,3.3170734500222765,13.857955640253744,2.870186165290787,14,14,14
11,1.3587231267949809,786.1720137013701,15.644566002063138,-3.2539229940249874,11.046522770332992,-2.922109887320863,26,26,14
12,1.856942358130836,327.24918651865187,2.041944774068822,0.970867920076187,9.16069293936649,0.7797332786396776,8,8,8
13,1.1214011971466609,609.4923830383038,5.563529427565935,1.6514767057339992,8.692113167831565,1.4619666909059488,20,14,8
14,1.0562825331524586,390.70345720572055,3.322162115121938,-1.6511454764282445,8.529301178939088,-1.3841410127053033,10,10,10
15,1.3515924728849924,660.899,14.6219223376512,-4.061580626624055,10.943667835214951,-3.4379583903872986,22,42,19
16,1.091326066003786,477.7341247124712,3.9748538699812497,-1.9078052142832176,8.906986654588673,-1.6000142722904818,11,11,11
17,1.7741965110621072,827.5419471947195,16.99163518490747,3.691487176501675,12.651782206852449,3.1952219682127305,23,23,23
18,1.5523753002341616,750.0,12.939802651586069,3.0213491393563197,10.431703209774717,2.6834712941227563,19,19,19
19,1.4143195327418336,374.28478347834783,3.797452899715028,1.5906833467400543,9.903635027787711,1.305648651655709,10,10,10
20,1.8281496137749753,665.9819369936994,0.23647564458887055,-0.0364235768833415,0.7363483805165028,-0.03597293980583149,9,9,9
23,1.9373898547264259,758.673,10.802478196206746,2.4118241302090837,11.633528931301978,2.1006106869545853,10,10,10
25,1.0972012679094743,931.241,7.227468678683114,1.3952088106400844,7.410216981023943,1.2995443142304595,26,26,26
26,1.0198655218707484,928.402,6.2785081285094915,1.0967710891242144,8.16546586508946,1.010339466107755,26,26,26
27,2.719985252992395,918.4310675067507,2.502727025871116,0.15589543092929847,7.071704711937567,0.14439518021134737,15,15,15
28,2.027810786703622,763.7239571957195,11.995000499109953,1.872413462078327,16.14258011957831,1.5874733582759575,11,11,11
31,0.8522303013239962,504.167,1.2207249734415535,-0.7596185798878554,5.993810289369117,-0.6554374680611817,9,9,9
32,0.8597327471719965,410.7626710671067,1.49038369670291,0.7819489791899313,6.460882408457601,0.6770676372789864,10,10,10
33,0.7478007405090149,461.2411782178217,1.6639388867203848,-1.098480560641755,5.890871493423586,-0.9579715335545922,5,5,5
34,1.8331567998077414,330.86354221422135,2.5470948241475653,1.1126462258712855,10.138620866326043,0.8966386039734663,7,7,7
35,0.5302426409105598,511.756,0.18685967239794524,-0.15628454824052077,3.0396976167738687,-0.14527860199869652,6,6,6
36,1.4050384584077715,386.26022442244226,0.7461589449043242,0.6249243490347156,5.577092028733652,0.499654334260692,6,6,6
37,1.227064098049714,344.122297829783,2.171505644595985,0.9705252127060032,7.600428291355256,0.8256466867122392,21,21,21
38,1.1853052714674563,362.52123492349233,3.958039180599337,-1.7518500649342934,8.965496608241299,-1.4698614050065488,17,17,6
39,1.4633430574584396,321.79189378937895,1.007464713884592,0.6236441771463852,6.775446328979149,0.5033923179017968,5,5,5
40,0.8015400304820965,408.040304830483,1.6561112527688664,-1.2531027111370274,6.168717874473301,-1.082358852267025,6,6,6
41,0.7633593669111082,463.52251875187517,0.48412243524336784,-0.43351037196092934,4.1283483299538535,-0.3901268143481959,8,8,8
42,1.002539076317471,455.4429292929293,1.785876531589929,-1.2363436309838363,7.376149623438484,-1.0467343009957464,11,21,21
43,1.1658896442886704,376.43636813681366,3.085034272294009,1.1999297208831146,8.222584042282296,1.028371093676962,6,6,6
44,1.2198073867997696,364.2670279027903,2.5013685602687885,1.1977790429668516,7.977063770077099,0.9985069084096474,6,6,6
45,0.2423373731964259,403.9070878087809,0.48023593824834626,-0.4713644378888703,2.111669410900158,-0.4483236833190129,9,9,9
46,1.0472144994947468,384.0540960096009,3.2791062576126695,-1.468762936427553,8.234694801390427,-1.250642165598287,10,10,10
47,0.8888455219960437,438.269492949295,2.3256182014787568,-1.6132665551348866,6.758788605366763,-1.3784611087747327,5,5,5
48,0.6029823374318961,440.3674687468747,1.3329629309380813,-0.7663924069416602,5.142795641737305,-0.6817286759324406,5,5,5
49,1.1848163377949326,463.09596179617967,2.8029695990467545,-1.9168952666794274,8.109335159170563,-1.5814195596813316,5,5,5
50,1.186427899308534,458.63919291929193,2.7678874694397555,-1.9035790984408605,8.104512115402276,-1.5682393158755845,5,5,5
51,0.8997358966604765,449.76546284628466,2.376206039556956,-1.6463685398765175,6.828601254009856,-1.40466024458873,5,5,5
52,0.452343974373718,374.4217794779478,0.49087588609055727,-0.5616727048124056,2.9185499133119785,-0.5113263645886744,6,6,6
53,0.904239502709339,401.56894199419935,2.925272081757508,-1.4385914187254454,7.7128576886158555,-1.2250080540251975,10,10,10
54,0.7047591823190539,461.5617364736474,0.8730490643257781,-0.4677523336152915,5.338678832976924,-0.4097582468693346,6,6,6
55,1.0930391571536235,334.7144225422542,2.080703032849115,1.1563105685258723,7.236822343721553,0.9769789393792283,6,6,6
56,0.963652092690049,308.6102127212721,7.31829497961101,-2.915479889053178,11.941461900523379,-2.629837143761197,11,11,11
57,1.047071530495515,337.74662567256723,6.462213225816962,3.511750284331404,10.423511350436545,3.2136567787384394,13,10,13
60,0.3127654477691208,299.456,1.253024068294964,-1.0538228847846274,3.651446746178815,-1.019329129203667,9,8,6
62,0.6385540532444487,400.0,0.228314681783607,-0.30528618002682695,3.0376498587111365,-0.27210903649353035,5,5,5
63,1.1501431887627311,331.4564206420642,2.9776560236322305,0.9551704505297997,8.010837653978703,0.8414050193456206,7,7,7
64,0.4277211628540478,305.171,0.9620332154023498,-0.43169693916108315,4.3356456614107834,-0.416482884208104,28,28,17
65,1.2720927583061754,362.4991611161116,5.760571855539974,2.4719267291592253,8.630034354588902,2.1180146317632476,26,26,26
66,1.3760863926892573,300.484,1.3022481480221029,0.9873155078532438,6.2752505129762906,0.7989446729541165,13,13,13
67,1.1566633308606888,356.5895794579458,3.8417792582583052,-1.9200533632424588,8.103829033982036,-1.6064659723882655,11,11,11
68,0.8368922614513882,412.2712886288629,0.2719719058354214,-0.35827153531271216,2.8970731244911856,-0.3141119719288166,8,8,6
70,0.5516107497551134,459.7876348634864,12.731498739068495,-4.983534797241958,7.908472563357076,-4.613370286644327,18,16,15
71,0.9524752102689602,379.50487188718876,0.5862271291905468,-0.5160233884659282,3.8930513130975952,-0.44458480160887875,11,11,11
72,0.29764234573120285,412.8304455445545,0.4326352595380752,-0.1887709085786405,3.4272754340278744,-0.17790149307546022,36,17,11
73,0.3822236824658624,1047.7,8.659647934435654,-1.9838120420934324,2.771544806364222,-1.9302793168331238,9,9,6
74,0.48058713699252387,429.50717161716176,0.22761504782912606,-0.2150023001488594,3.852563071709324,-0.19566285245347112,18,18,18
75,0.7617437673334975,710.762,1.9284578173180738,0.7826206384477432,7.279772949803744,0.7033942093687056,10,10,5
77,1.3154453929647512,724.469,11.650336867983214,-3.8159089652812783,10.132947291642276,-3.3753175185417676,10,10,10
78,1.1024083086721967,715.888,9.312800027221252,-2.660237351139882,9.378902025917576,-2.3913265930161973,10,10,10
79,1.8053098420944174,746.6830216021602,11.93748267841229,2.309435402429375,12.55927875183823,1.9781318185221566,12,12,13
80,1.2963881399164643,687.887,9.460882143725577,2.6787056312084205,8.065908702965585,2.4272556654902813,17,17,17
81,1.0513324330310676,921.774,16.952686634999942,-3.3644873693451065,10.754850069386466,-3.0471175080338875,18,18,26
83,0.7859960944015966,722.169,3.0418880291019548,-0.8867134382102656,5.8074614928212664,-0.7858135068245866,10,10,7
84,0.6491125647454105,778.182,7.242764637912434,-2.507062775781712,5.507415946043292,-2.3461660398137116,10,16,12
85,2.2607608299596396,915.5414044404441,19.940996118538152,2.853549591884931,17.636769344636853,2.3418040873370076,14,14,14
86,0.27012865784264484,299.154,1.7732031392561078,-1.7472048561322266,1.9819716811551265,-1.7159177500380622,45,45,45
87,0.6114980932090028,687.886895889589,5.646910443648066,-2.3472735770918836,5.4417659070923,-2.1812668681798995,9,9,9
88,1.0608571102343036,729.2774599459947,3.5319872425560184,-0.9996013881323844,7.866881749596579,-0.892765817204694,13,14,10
89,1.0278129069935462,563.6996969696969,4.056229731811642,1.3214962926481455,7.303450346536894,1.1727618343839117,7,7,7
90,1.1861805484441181,620.437,1.654337162928004,-0.3759566054282566,7.656912116346202,-0.3254877618310214,31,35,5
91,1.5245337664518919,706.2677817781778,7.75995455780587,2.014222299326517,9.16418108708542,1.792326290841219,24,25,9
92,1.5417404039577365,828.333,14.243293364057372,2.840399501274892,12.153765251783318,2.490511018044584,28,32,12
93,1.1277238624539203,655.2336666666666,4.9541788413402825,1.375454686648883,7.317032001774201,1.223632870819336,22,23,8
94,1.8467681464855352,624.074,2.224304451844933,-0.8144376976446367,5.72521285396592,-0.7301936691570992,7,7,7
95,1.1044263620966213,722.727,4.497381326439476,-2.019953592034306,7.4954638754831215,-1.826092440318526,9,9,9
96,1.3350333544003232,879.1602565256526,19.24750193873656,-3.4531921108954755,12.807794032221572,-3.0687936475877544,23,23,23
97,1.171642554126946,610.7662244224423,6.892320158580468,-1.3673783960485324,12.460777281379922,-1.1915286730197405,6,6,6
98,1.672521385200154,716.6104535453544,1.29786281725566,-0.2291881296189657,3.457423721174741,-0.21638715113444976,9,9,9
99,0.4732049776100863,549.615,3.1991282938392556,2.1040105276244265,3.7078189591038933,1.9699091025373725,6,6,6
100,1.241575718889514,756.997,9.006299930126433,1.5793412733627965,10.703004586304306,1.3988619207409514,11,11,11
